Batsman,Bowler,Batsman Points,Bowler Points
A Ashish Reddy,A Nehra,-7.0,7.0
A Ashish Reddy,AB Dinda,6.5,-6.5
A Ashish Reddy,AD Mathews,20.5,-20.5
A Ashish Reddy,Andre Russell,-21.0,21.0
A Ashish Reddy,Anureet Singh,2.0,-2.0
A Ashish Reddy,Azhar Mahmood,2.0,-2.0
A Ashish Reddy,BW Hilfenhaus,-23.0,23.0
A Ashish Reddy,Bhuvneshwar Kumar,1.0,-1.0
A Ashish Reddy,CH Morris,8.5,-8.5
A Ashish Reddy,DJ Bravo,5.666666666666667,-5.666666666666667
A Ashish Reddy,Harbhajan Singh,17.0,-17.0
A Ashish Reddy,Imran Tahir,2.0,-2.0
A Ashish Reddy,J Botha,-2.0,2.0
A Ashish Reddy,JEC Franklin,3.0,-3.0
A Ashish Reddy,JP Duminy,1.0,-1.0
A Ashish Reddy,JP Faulkner,2.0,-2.0
A Ashish Reddy,KA Pollard,-22.0,22.0
A Ashish Reddy,KK Cooper,12.0,-12.0
A Ashish Reddy,M Kartik,6.0,-6.0
A Ashish Reddy,M Morkel,-10.0,10.0
A Ashish Reddy,MG Johnson,11.0,-11.0
A Ashish Reddy,MM Patel,-27.0,27.0
A Ashish Reddy,MS Gony,9.0,-9.0
A Ashish Reddy,Mitchell Marsh,3.0,-3.0
A Ashish Reddy,Mohit Sharma,13.0,-13.0
A Ashish Reddy,NM Coulter-Nile,-27.0,27.0
A Ashish Reddy,P Awana,-27.0,27.0
A Ashish Reddy,P Kumar,10.0,-10.0
A Ashish Reddy,PP Chawla,2.0,-2.0
A Ashish Reddy,PV Tambe,3.0,-3.0
A Ashish Reddy,Parvez Rasool,32.0,-32.0
A Ashish Reddy,R Vinay Kumar,-10.0,10.0
A Ashish Reddy,RJ Peterson,13.0,-13.0
A Ashish Reddy,RP Singh,-24.0,24.0
A Ashish Reddy,SL Malinga,3.0,-3.0
A Ashish Reddy,SMSM Senanayake,-22.0,22.0
A Ashish Reddy,SR Watson,-11.0,11.0
A Ashish Reddy,STR Binny,-21.0,21.0
A Ashish Reddy,SW Tait,18.0,-18.0
A Ashish Reddy,Sandeep Sharma,25.0,-25.0
A Ashish Reddy,Sunil Narine,1.0,-1.0
A Ashish Reddy,TG Southee,15.0,-15.0
A Ashish Reddy,UT Yadav,17.0,-17.0
A Ashish Reddy,Yuzvendra Chahal,25.0,-25.0
A Chandila,R Rampaul,1.0,-1.0
A Chandila,R Vinay Kumar,1.0,-1.0
A Chandila,RP Singh,2.0,-2.0
A Chandila,V Pratap Singh,-2.0,2.0
A Chopra,DP Vijaykumar,1.0,-1.0
A Chopra,DW Steyn,-24.0,24.0
