Player Name,Role,Bowling,Batting,Age,Team Name
Ruturaj Gaikwad,Batter,Right arm Offbreak,Right hand Bat,27y 274d,Chennai Super Kings Squad
C Andre Siddarth,Batter,,Right hand Bat,18y 64d,Chennai Super Kings Squad
Vansh Bedi,Wicketkeeper Batter,,Right hand Bat,21y 313d,Chennai Super Kings Squad
Devon Conway,Wicketkeeper Batter,Right arm Medium,Left hand Bat,33y 115d,Chennai Super Kings Squad
MS Dhoni,Wicketkeeper Batter,Right arm Medium,Right hand Bat,43y 116d,Chennai Super Kings Squad
Shaik Rasheed,Batter,Legbreak,Right hand Bat,20y 37d,Chennai Super Kings Squad
Rahul Tripathi,Top order Batter,Right arm Medium,Right hand Bat,33y 243d,Chennai Super Kings Squad
Ravichandran Ashwin,Bowling Allrounder,Right arm Offbreak,Right hand Bat,38y 44d,Chennai Super Kings Squad
Sam Curran,Allrounder,Left arm Medium fast,Left hand Bat,26y 150d,Chennai Super Kings Squad
Shivam Dube,Allrounder,Right arm Medium,Left hand Bat,31y 127d,Chennai Super Kings Squad
Ramakrishna Ghosh,Bowling Allrounder,Right arm Medium fast,Right hand Bat,27y 64d,Chennai Super Kings Squad
Shreyas Gopal,Allrounder,Legbreak,Right hand Bat,31y 57d,Chennai Super Kings Squad
Deepak Hooda,Allrounder,Right arm Offbreak,Right hand Bat,29y 195d,Chennai Super Kings Squad
Ravindra Jadeja,Allrounder,Slow Left arm Orthodox,Left hand Bat,35y 330d,Chennai Super Kings Squad
Anshul Kamboj,Allrounder,Right arm Medium,Right hand Bat,23y 330d,Chennai Super Kings Squad
Jamie Overton,Bowling Allrounder,Right arm Fast,Right hand Bat,30y 204d,Chennai Super Kings Squad
Rachin Ravindra,Batting Allrounder,Slow Left arm Orthodox,Left hand Bat,24y 348d,Chennai Super Kings Squad
Vijay Shankar,Allrounder,Right arm Medium,Right hand Bat,33y 279d,Chennai Super Kings Squad
Khaleel Ahmed,Bowler,Left arm Fast medium,Right hand Bat,26y 331d,Chennai Super Kings Squad
Nathan Ellis,Bowler,Right arm Fast medium,Right hand Bat,30y 39d,Chennai Super Kings Squad
Gurjapneet Singh,Bowler,Left arm Medium fast,Right hand Bat,25y 358d,Chennai Super Kings Squad
Mukesh Choudhary,Bowler,Left arm Medium,Left hand Bat,28y 117d,Chennai Super Kings Squad
Kamlesh Nagarkoti,Bowler,Right arm Fast,Right hand Bat,24y 308d,Chennai Super Kings Squad
Noor Ahmad,Bowler,Left arm Wrist spin,Right hand Bat,19y 302d,Chennai Super Kings Squad
Matheesha Pathirana,Bowler,Right arm Fast,Right hand Bat,21y 318d,Chennai Super Kings Squad
Abishek Porel,Wicketkeeper Batter,,Left hand Bat,22y 14d,Delhi Capitals Squad
Faf du Plessis,Middle order Batter,Legbreak,Right hand Bat,40y 110d,Delhi Capitals Squad
Jake Fraser-McGurk,Batter,Legbreak Googly,Right hand Bat,22y 203d,Delhi Capitals Squad
Karun Nair,Top order Batter,Right arm Offbreak,Right hand Bat,32y 330d,Delhi Capitals Squad
KL Rahul,Wicketkeeper Batter,,Right hand Bat,32y 196d,Delhi Capitals Squad
Sameer Rizvi,Batter,Right arm Offbreak,Right hand Bat,20y 330d,Delhi Capitals Squad
Tristan Stubbs,Batter,Right arm Offbreak,Right hand Bat,24y 78d,Delhi Capitals Squad
Harry Brook,Batter,Right arm Medium,Right hand Bat,25y 252d,Delhi Capitals Squad
Axar Patel,Allrounder,Slow Left arm Orthodox,Left hand Bat,30y 285d,Delhi Capitals Squad
Donovan Ferreira,Allrounder,Right arm Offbreak,Right hand Bat,26y 102d,Delhi Capitals Squad
Ajay Mandal,Allrounder,Slow Left arm Orthodox,Left hand Bat,28y 249d,Delhi Capitals Squad
Manvanth Kumar,Allrounder,Right arm Fast medium,Left hand Bat,20y 294d,Delhi Capitals Squad
Ashutosh Sharma,Batting Allrounder,,Right hand Bat,26y 46d,Delhi Capitals Squad
Madhav Tiwari,Allrounder,Right arm Medium fast,Right hand Bat,21y 33d,Delhi Capitals Squad
Dushmantha Chameera,Bowler,Right arm Fast,Right hand Bat,32y 294d,Delhi Capitals Squad
Kuldeep Yadav,Bowler,Left arm Wrist spin,Left hand Bat,29y 322d,Delhi Capitals Squad
Mukesh Kumar,Bowler,Right arm Medium,Right hand Bat,31y 19d,Delhi Capitals Squad
T Natarajan,Bowler,Left arm Medium,Left hand Bat,33y 210d,Delhi Capitals Squad
Vipraj Nigam,Bowler,Legbreak,Right hand Bat,20y 95d,Delhi Capitals Squad
Mohit Sharma,Bowler,Right arm Medium,Right hand Bat,36y 43d,Delhi Capitals Squad
Mitchell Starc,Bowler,Left arm Fast,Left hand Bat,34y 275d,Delhi Capitals Squad
Tripurana Vijay,Bowler,Right arm Offbreak,Right hand Bat,23y 56d,Delhi Capitals Squad
Shubman Gill,Opening Batter,Right arm Offbreak,Right hand Bat,25y 53d,Gujarat Titans Squad
Anuj Rawat,Wicketkeeper Batter,,Left hand Bat,25y 14d,Gujarat Titans Squad
Jos Buttler,Wicketkeeper Batter,,Right hand Bat,34y 53d,Gujarat Titans Squad
Kumar Kushagra,Wicketkeeper Batter,,Right hand Bat,20y 8d,Gujarat Titans Squad
Sherfane Rutherford,Middle order Batter,Right arm Fast medium,Left hand Bat,26y 77d,Gujarat Titans Squad
Sai Sudharsan,Top order Batter,Legbreak,Left hand Bat,23y 16d,Gujarat Titans Squad
M Shahrukh Khan,Batter,Right arm Offbreak,Right hand Bat,29y 157d,Gujarat Titans Squad
Karim Janat,Bowling Allrounder,Right arm Medium,Right hand Bat,26y 81d,Gujarat Titans Squad
Mahipal Lomror,Allrounder,Slow Left arm Orthodox,Left hand Bat,24y 350d,Gujarat Titans Squad
Glenn Phillips,Allrounder,Right arm Offbreak,Right hand Bat,27y 330d,Gujarat Titans Squad
Rashid Khan,Bowling Allrounder,Legbreak Googly,Right hand Bat,26y 41d,Gujarat Titans Squad
