Player Name1,Venue,avg_batting_points,avg_bowling_points
A Ashish Reddy,Barabati Stadium,26.0,26.0
A Ashish Reddy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,19.5,19.5
A Ashish Reddy,Eden Gardens,16.5,16.5
A Ashish Reddy,Feroz Shah Kotla,24.0,24.0
A Ashish Reddy,M Chinnaswamy Stadium,19.333333333333332,19.333333333333332
A Ashish Reddy,"MA Chidambaram Stadium, Chepauk",23.0,23.0
A Ashish Reddy,Maharashtra Cricket Association Stadium,25.0,25.0
A Ashish Reddy,"Punjab Cricket Association Stadium, Mohali",38.0,38.0
A Ashish Reddy,"Rajiv Gandhi International Stadium, Uppal",22.157894736842106,22.157894736842106
A Ashish Reddy,Sawai Mansingh Stadium,18.0,18.0
A Ashish Reddy,Subrata Roy Sahara Stadium,56.0,56.0
A Ashish Reddy,Wankhede Stadium,26.5,26.5
A Chandila,M Chinnaswamy Stadium,9.0,9.0
A Chandila,"MA Chidambaram Stadium, Chepauk",36.0,36.0
A Chandila,"Punjab Cricket Association Stadium, Mohali",38.0,38.0
A Chandila,"Rajiv Gandhi International Stadium, Uppal",20.5,20.5
A Chandila,Sawai Mansingh Stadium,35.875,35.875
A Chopra,Eden Gardens,8.333333333333334,8.333333333333334
A Chopra,Newlands,19.0,19.0
A Chopra,"Rajiv Gandhi International Stadium, Uppal",36.0,36.0
A Chopra,Wankhede Stadium,1.0,1.0
A Choudhary,M Chinnaswamy Stadium,26.4,26.4
A Choudhary,"Rajiv Gandhi International Stadium, Uppal",18.0,18.0
A Choudhary,Wankhede Stadium,34.0,34.0
A Dananjaya,Wankhede Stadium,3.0,3.0
A Flintoff,Kingsmead,9.5,9.5
A Flintoff,Newlands,32.0,32.0
A Flintoff,St George's Park,38.5,38.5
A Kamboj,"Eden Gardens, Kolkata",2.0,2.0
A Kumble,Brabourne Stadium,40.0,40.0
A Kumble,Dr DY Patil Sports Academy,53.333333333333336,53.333333333333336
A Kumble,Eden Gardens,27.0,27.0
A Kumble,Feroz Shah Kotla,19.0,19.0
A Kumble,Kingsmead,41.666666666666664,41.666666666666664
A Kumble,M Chinnaswamy Stadium,27.066666666666666,27.066666666666666
A Kumble,"MA Chidambaram Stadium, Chepauk",47.333333333333336,47.333333333333336
A Kumble,New Wanderers Stadium,38.8,38.8
A Kumble,Newlands,54.333333333333336,54.333333333333336
A Kumble,"Punjab Cricket Association Stadium, Mohali",13.666666666666666,13.666666666666666
A Kumble,"Rajiv Gandhi International Stadium, Uppal",35.0,35.0
A Kumble,Sawai Mansingh Stadium,17.333333333333332,17.333333333333332
A Kumble,St George's Park,7.4,7.4
A Kumble,SuperSport Park,44.0,44.0
A Kumble,"Vidarbha Cricket Association Stadium, Jamtha",19.0,19.0
A Mishra,Arun Jaitley Stadium,41.06666666666667,41.06666666666667
A Mishra,Barabati Stadium,17.4,17.4
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",41.4,41.4
A Mishra,Brabourne Stadium,4.75,4.75
A Mishra,Buffalo Park,16.0,16.0
A Mishra,Dr DY Patil Sports Academy,60.0,60.0
A Mishra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,16.9,16.9
A Mishra,Dubai International Cricket Stadium,5.0,5.0
A Mishra,Eden Gardens,20.833333333333332,20.833333333333332
A Mishra,Feroz Shah Kotla,33.27906976744186,33.27906976744186
A Mishra,Green Park,18.5,18.5
A Mishra,Himachal Pradesh Cricket Association Stadium,130.0,130.0
A Mishra,Kingsmead,6.666666666666667,6.666666666666667
A Mishra,M Chinnaswamy Stadium,30.75,30.75
A Mishra,"M Chinnaswamy Stadium, Bengaluru",27.0,27.0
A Mishra,M.Chinnaswamy Stadium,2.5,2.5
A Mishra,MA Chidambaram Stadium,11.0,11.0
A Mishra,"MA Chidambaram Stadium, Chepauk",32.25,32.25
A Mishra,"MA Chidambaram Stadium, Chepauk, Chennai",77.0,77.0
A Mishra,Maharashtra Cricket Association Stadium,64.8,64.8
A Mishra,"Narendra Modi Stadium, Ahmedabad",27.0,27.0
A Mishra,Nehru Stadium,21.0,21.0
A Mishra,New Wanderers Stadium,42.333333333333336,42.333333333333336
A Mishra,OUTsurance Oval,86.0,86.0
A Mishra,Punjab Cricket Association IS Bindra Stadium,0.0,0.0
A Mishra,"Punjab Cricket Association IS Bindra Stadium, Mohali",4.0,4.0
A Mishra,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",-3.0,-3.0
A Mishra,"Punjab Cricket Association Stadium, Mohali",24.0,24.0
A Mishra,Rajiv Gandhi International Stadium,39.5,39.5
A Mishra,"Rajiv Gandhi International Stadium, Uppal",35.064516129032256,35.064516129032256
A Mishra,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",33.0,33.0
A Mishra,"Sardar Patel Stadium, Motera",26.0,26.0
A Mishra,Saurashtra Cricket Association Stadium,31.0,31.0
A Mishra,Sawai Mansingh Stadium,30.0,30.0
A Mishra,"Sawai Mansingh Stadium, Jaipur",2.0,2.0
A Mishra,Shaheed Veer Narayan Singh International Stadium,11.333333333333334,11.333333333333334
A Mishra,Sharjah Cricket Stadium,22.25,22.25
A Mishra,Sheikh Zayed Stadium,58.0,58.0
A Mishra,St George's Park,40.0,40.0
A Mishra,Subrata Roy Sahara Stadium,4.0,4.0
A Mishra,SuperSport Park,34.42857142857143,34.42857142857143
