Player Name1,recent_avg_batting,recent_avg_bowling
A Kamboj,2.0,2.0
A Mishra,30.0,30.0
AA Kulkarni,8.5,8.5
AJ Turner,16.5,16.5
AS Joseph,9.0,9.0
Abdul Samad,26.5,26.5
Abhinav Manohar,6.5,6.5
Abhishek Sharma,49.8,49.8
Abishek Porel,48.416666666666664,48.416666666666664
Aiden Markram,26.46153846153846,26.46153846153846
Ajinkya Rahane,33.666666666666664,33.666666666666664
Akash Deep,13.5,13.5
Akash Madhwal,28.833333333333332,28.833333333333332
Andre Russell,40.30434782608695,40.30434782608695
Angkrish Raghuvanshi,41.57142857142857,41.57142857142857
Anmolpreet Singh,4.5,4.5
Anrich Nortje,23.625,23.625
Anshul Kamboj,20.333333333333332,20.333333333333332
Anuj Rawat,32.8,32.8
Anukul Roy,9.75,9.75
Arjun Tendulkar,7.0,7.0
Arshad Khan,29.333333333333332,29.333333333333332
Arshad Khan (2),3.5,3.5
Arshdeep Singh,39.46666666666667,39.46666666666667
Ashutosh Sharma,37.666666666666664,37.666666666666664
Atharva Taide,33.0,33.0
Avesh Khan,38.411764705882355,38.411764705882355
Axar Patel,28.5,28.5
Ayush Badoni,26.285714285714285,26.285714285714285
Azmatullah Omarzai,19.09090909090909,19.09090909090909
BR Sharath,2.0,2.0
Bhuvneshwar Kumar,19.61904761904762,19.61904761904762
C Green,31.48,31.48
D Brevis,38.333333333333336,38.333333333333336
D Ferreira,4.0,4.0
DA Warner,39.0,39.0
DG Nalkande,24.25,24.25
DJ Mitchell,35.8,35.8
David Miller,39.77777777777778,39.77777777777778
Deepak Chahar,22.625,22.625
Deepak Hooda,22.272727272727273,22.272727272727273
Devdutt Padikkal,7.142857142857143,7.142857142857143
Dhruv Jurel,29.90909090909091,29.90909090909091
Dushmantha Chameera,-1.0,-1.0
Faf du Plessis,53.06666666666667,53.06666666666667
Gerald Coetzee,26.8,26.8
Glenn Maxwell,20.066666666666666,20.066666666666666
Gulbadin Naib,13.0,13.0
H Sharma,-6.0,-6.0
Hardik Pandya,29.12,29.12
Harpreet Brar,18.25,18.25
Harpreet Singh,17.5,17.5
Harshal Patel,47.72222222222222,47.72222222222222
Harshit Rana,54.09090909090909,54.09090909090909
Heinrich Klaasen,55.4,55.4
Ishan Kishan,41.42857142857143,41.42857142857143
Ishant Sharma,32.63636363636363,32.63636363636363
